State,Medical marijuana legalized,Marijuana legalized for recreational use,No laws legalizing marijuana,Year
Connecticut,Yes,,,2016
Hawaii,Yes,,,2016
Rhode Island,Yes,,,2016
Arizona,Yes,,,2016
Arkansas,Yes,,,2016
Delaware,Yes,,,2016
Florida,Yes,,,2016
Illinois,Yes,,,2016
Louisiana,Yes,,,2016
Maine,,Yes,,2016
Maryland,Yes,,,2016
Michigan,Yes,,,2016
Minnesota,Yes,,,2016
Montana,Yes,,,2016
New Hampshire,Yes,,,2016
New Jersey,Yes,,,2016
New Mexico,Yes,,,2016
New York,Yes,,,2016
North Dakota,Yes,,,2016
Pennsylvania,Yes,,,2016
Vermont,Yes,,,2016
Alabama,,,Yes,2016
Georgia,,,Yes,2016
Idaho,,,Yes,2016
Indiana,,,Yes,2016
Iowa,,,Yes,2016
Kansas,,,Yes,2016
Kentucky,,,Yes,2016
Mississippi,,,Yes,2016
Missouri,,,Yes,2016
Nebraska,,,Yes,2016
North Carolina,,,Yes,2016
Ohio,Yes,,,2016
Oklahoma,,,Yes,2016
South Carolina,,,Yes,2016
South Dakota,,,Yes,2016
Tennessee,,,Yes,2016
Texas,,,Yes,2016
Utah,,,Yes,2016
West Virginia,,,Yes,2016
Wisconsin,,,Yes,2016
Wyoming,,,Yes,2016
Alaska,,Yes,,2016
California,,Yes,,2016
Colorado,,Yes,,2016
Massachusetts,,Yes,,2016
Nevada,,Yes,,2016
Oregon,,Yes,,2016
Virginia,,,Yes,2016
Washington,,Yes,,2016
Connecticut,,,Yes,1996
Hawaii,,,Yes,1996
Rhode Island,,,Yes,1996
Arizona,,,Yes,1996
Arkansas,,,Yes,1996
Delaware,,,Yes,1996
Florida,,,Yes,1996
Illinois,,,Yes,1996
Louisiana,,,Yes,1996
Maine,,,Yes,1996
Maryland,,,Yes,1996
Michigan,,,Yes,1996
Minnesota,,,Yes,1996
Montana,,,Yes,1996
New Hampshire,,,Yes,1996
New Jersey,,,Yes,1996
New Mexico,,,Yes,1996
New York,,,Yes,1996
North Dakota,,,Yes,1996
Pennsylvania,,,Yes,1996
Vermont,,,Yes,1996
Alabama,,,Yes,1996
Georgia,,,Yes,1996
Idaho,,,Yes,1996
Indiana,,,Yes,1996
Iowa,,,Yes,1996
Kansas,,,Yes,1996
Kentucky,,,Yes,1996
Mississippi,,,Yes,1996
Missouri,,,Yes,1996
Nebraska,,,Yes,1996
North Carolina,,,Yes,1996
Ohio,,,Yes,1996
Oklahoma,,,Yes,1996
South Carolina,,,Yes,1996
South Dakota,,,Yes,1996
Tennessee,,,Yes,1996
Texas,,,Yes,1996
Utah,,,Yes,1996
West Virginia,,,Yes,1996
Wisconsin,,,Yes,1996
Wyoming,,,Yes,1996
Alaska,,,Yes,1996
California,Yes,,,1996
Colorado,,,Yes,1996
Massachusetts,,,Yes,1996
Nevada,,,Yes,1996
Oregon,,,Yes,1996
Virginia,,,Yes,1996
Washington,,,Yes,1996
Connecticut,,,Yes,1997
Hawaii,,,Yes,1997
Rhode Island,,,Yes,1997
Arizona,,,Yes,1997
Arkansas,,,Yes,1997
Delaware,,,Yes,1997
Florida,,,Yes,1997
Illinois,,,Yes,1997
Louisiana,,,Yes,1997
Maine,,,Yes,1997
Maryland,,,Yes,1997
Michigan,,,Yes,1997
Minnesota,,,Yes,1997
Montana,,,Yes,1997
New Hampshire,,,Yes,1997
New Jersey,,,Yes,1997
New Mexico,,,Yes,1997
New York,,,Yes,1997
North Dakota,,,Yes,1997
Pennsylvania,,,Yes,1997
Vermont,,,Yes,1997
Alabama,,,Yes,1997
Georgia,,,Yes,1997
Idaho,,,Yes,1997
Indiana,,,Yes,1997
Iowa,,,Yes,1997
Kansas,,,Yes,1997
Kentucky,,,Yes,1997
Mississippi,,,Yes,1997
Missouri,,,Yes,1997
Nebraska,,,Yes,1997
North Carolina,,,Yes,1997
Ohio,,,Yes,1997
Oklahoma,,,Yes,1997
South Carolina,,,Yes,1997
South Dakota,,,Yes,1997
Tennessee,,,Yes,1997
Texas,,,Yes,1997
Utah,,,Yes,1997
West Virginia,,,Yes,1997
Wisconsin,,,Yes,1997
Wyoming,,,Yes,1997
Alaska,,,Yes,1997
California,Yes,,,1997
Colorado,,,Yes,1997
Massachusetts,,,Yes,1997
Nevada,,,Yes,1997
Oregon,,,Yes,1997
Virginia,,,Yes,1997
Washington,,,Yes,1997
Connecticut,,,Yes,1998
Hawaii,,,Yes,1998
Rhode Island,,,Yes,1998
Arizona,,,Yes,1998
Arkansas,,,Yes,1998
Delaware,,,Yes,1998
Florida,,,Yes,1998
Illinois,,,Yes,1998
Louisiana,,,Yes,1998
Maine,,,Yes,1998
Maryland,,,Yes,1998
Michigan,,,Yes,1998
Minnesota,,,Yes,1998
Montana,,,Yes,1998
New Hampshire,,,Yes,1998
New Jersey,,,Yes,1998
New Mexico,,,Yes,1998
New York,,,Yes,1998
North Dakota,,,Yes,1998
Pennsylvania,,,Yes,1998
Vermont,,,Yes,1998
Alabama,,,Yes,1998
Georgia,,,Yes,1998
Idaho,,,Yes,1998
Indiana,,,Yes,1998
Iowa,,,Yes,1998
Kansas,,,Yes,1998
Kentucky,,,Yes,1998
Mississippi,,,Yes,1998
Missouri,,,Yes,1998
Nebraska,,,Yes,1998
North Carolina,,,Yes,1998
Ohio,,,Yes,1998
Oklahoma,,,Yes,1998
South Carolina,,,Yes,1998
South Dakota,,,Yes,1998
Tennessee,,,Yes,1998
Texas,,,Yes,1998
Utah,,,Yes,1998
West Virginia,,,Yes,1998
Wisconsin,,,Yes,1998
Wyoming,,,Yes,1998
Alaska,Yes,,,1998
California,Yes,,,1998
Colorado,,,Yes,1998
Massachusetts,,,Yes,1998
Nevada,,,Yes,1998
Oregon,Yes,,,1998
Virginia,,,Yes,1998
Washington,Yes,,,1998
Connecticut,,,Yes,1999
Hawaii,,,Yes,1999
Rhode Island,,,Yes,1999
Arizona,,,Yes,1999
Arkansas,,,Yes,1999
Delaware,,,Yes,1999
Florida,,,Yes,1999
Illinois,,,Yes,1999
Louisiana,,,Yes,1999
Maine,Yes,,,1999
Maryland,,,Yes,1999
Michigan,,,Yes,1999
Minnesota,,,Yes,1999
Montana,,,Yes,1999
New Hampshire,,,Yes,1999
New Jersey,,,Yes,1999
New Mexico,,,Yes,1999
New York,,,Yes,1999
North Dakota,,,Yes,1999
Pennsylvania,,,Yes,1999
Vermont,,,Yes,1999
Alabama,,,Yes,1999
Georgia,,,Yes,1999
Idaho,,,Yes,1999
Indiana,,,Yes,1999
Iowa,,,Yes,1999
Kansas,,,Yes,1999
Kentucky,,,Yes,1999
Mississippi,,,Yes,1999
Missouri,,,Yes,1999
Nebraska,,,Yes,1999
North Carolina,,,Yes,1999
Ohio,,,Yes,1999
Oklahoma,,,Yes,1999
South Carolina,,,Yes,1999
South Dakota,,,Yes,1999
Tennessee,,,Yes,1999
Texas,,,Yes,1999
Utah,,,Yes,1999
West Virginia,,,Yes,1999
Wisconsin,,,Yes,1999
Wyoming,,,Yes,1999
Alaska,Yes,,,1999
California,Yes,,,1999
Colorado,,,Yes,1999
Massachusetts,,,Yes,1999
Nevada,,,Yes,1999
Oregon,Yes,,,1999
Virginia,,,Yes,1999
Washington,Yes,,,1999
Connecticut,,,Yes,2000
Hawaii,Yes,,,2000
Rhode Island,,,Yes,2000
Arizona,,,Yes,2000
Arkansas,,,Yes,2000
Delaware,,,Yes,2000
Florida,,,Yes,2000
Illinois,,,Yes,2000
Louisiana,,,Yes,2000
Maine,Yes,,,2000
Maryland,,,Yes,2000
Michigan,,,Yes,2000
Minnesota,,,Yes,2000
Montana,,,Yes,2000
New Hampshire,,,Yes,2000
New Jersey,,,Yes,2000
New Mexico,,,Yes,2000
New York,,,Yes,2000
North Dakota,,,Yes,2000
Pennsylvania,,,Yes,2000
Vermont,,,Yes,2000
Alabama,,,Yes,2000
Georgia,,,Yes,2000
Idaho,,,Yes,2000
Indiana,,,Yes,2000
Iowa,,,Yes,2000
Kansas,,,Yes,2000
Kentucky,,,Yes,2000
Mississippi,,,Yes,2000
Missouri,,,Yes,2000
Nebraska,,,Yes,2000
North Carolina,,,Yes,2000
Ohio,,,Yes,2000
Oklahoma,,,Yes,2000
South Carolina,,,Yes,2000
South Dakota,,,Yes,2000
Tennessee,,,Yes,2000
Texas,,,Yes,2000
Utah,,,Yes,2000
West Virginia,,,Yes,2000
Wisconsin,,,Yes,2000
Wyoming,,,Yes,2000
Alaska,Yes,,,2000
California,Yes,,,2000
Colorado,Yes,,,2000
Massachusetts,,,Yes,2000
Nevada,Yes,,,2000
Oregon,Yes,,,2000
Virginia,,,Yes,2000
Washington,Yes,,,2000
Connecticut,,,Yes,2001
Hawaii,Yes,,,2001
Rhode Island,,,Yes,2001
Arizona,,,Yes,2001
Arkansas,,,Yes,2001
Delaware,,,Yes,2001
Florida,,,Yes,2001
Illinois,,,Yes,2001
Louisiana,,,Yes,2001
Maine,Yes,,,2001
Maryland,,,Yes,2001
Michigan,,,Yes,2001
Minnesota,,,Yes,2001
Montana,,,Yes,2001
New Hampshire,,,Yes,2001
New Jersey,,,Yes,2001
New Mexico,,,Yes,2001
New York,,,Yes,2001
North Dakota,,,Yes,2001
Pennsylvania,,,Yes,2001
Vermont,,,Yes,2001
Alabama,,,Yes,2001
Georgia,,,Yes,2001
Idaho,,,Yes,2001
Indiana,,,Yes,2001
Iowa,,,Yes,2001
Kansas,,,Yes,2001
Kentucky,,,Yes,2001
Mississippi,,,Yes,2001
Missouri,,,Yes,2001
Nebraska,,,Yes,2001
North Carolina,,,Yes,2001
Ohio,,,Yes,2001
Oklahoma,,,Yes,2001
South Carolina,,,Yes,2001
South Dakota,,,Yes,2001
Tennessee,,,Yes,2001
Texas,,,Yes,2001
Utah,,,Yes,2001
West Virginia,,,Yes,2001
Wisconsin,,,Yes,2001
Wyoming,,,Yes,2001
Alaska,Yes,,,2001
California,Yes,,,2001
Colorado,Yes,,,2001
Massachusetts,,,Yes,2001
Nevada,Yes,,,2001
Oregon,Yes,,,2001
Virginia,,,Yes,2001
Washington,Yes,,,2001
Connecticut,,,Yes,2002
Hawaii,Yes,,,2002
Rhode Island,,,Yes,2002
Arizona,,,Yes,2002
Arkansas,,,Yes,2002
Delaware,,,Yes,2002
Florida,,,Yes,2002
Illinois,,,Yes,2002
Louisiana,,,Yes,2002
Maine,Yes,,,2002
Maryland,,,Yes,2002
Michigan,,,Yes,2002
Minnesota,,,Yes,2002
Montana,,,Yes,2002
New Hampshire,,,Yes,2002
New Jersey,,,Yes,2002
New Mexico,,,Yes,2002
New York,,,Yes,2002
North Dakota,,,Yes,2002
Pennsylvania,,,Yes,2002
Vermont,,,Yes,2002
Alabama,,,Yes,2002
Georgia,,,Yes,2002
Idaho,,,Yes,2002
Indiana,,,Yes,2002
Iowa,,,Yes,2002
Kansas,,,Yes,2002
Kentucky,,,Yes,2002
Mississippi,,,Yes,2002
Missouri,,,Yes,2002
Nebraska,,,Yes,2002
North Carolina,,,Yes,2002
Ohio,,,Yes,2002
Oklahoma,,,Yes,2002
South Carolina,,,Yes,2002
South Dakota,,,Yes,2002
Tennessee,,,Yes,2002
Texas,,,Yes,2002
Utah,,,Yes,2002
West Virginia,,,Yes,2002
Wisconsin,,,Yes,2002
Wyoming,,,Yes,2002
Alaska,Yes,,,2002
California,Yes,,,2002
Colorado,Yes,,,2002
Massachusetts,,,Yes,2002
Nevada,Yes,,,2002
Oregon,Yes,,,2002
Virginia,,,Yes,2002
Washington,Yes,,,2002
Connecticut,,,Yes,2003
Hawaii,Yes,,,2003
Rhode Island,,,Yes,2003
Arizona,,,Yes,2003
Arkansas,,,Yes,2003
Delaware,,,Yes,2003
Florida,,,Yes,2003
Illinois,,,Yes,2003
Louisiana,,,Yes,2003
Maine,Yes,,,2003
Maryland,,,Yes,2003
Michigan,,,Yes,2003
Minnesota,,,Yes,2003
Montana,,,Yes,2003
New Hampshire,,,Yes,2003
New Jersey,,,Yes,2003
New Mexico,,,Yes,2003
New York,,,Yes,2003
North Dakota,,,Yes,2003
Pennsylvania,,,Yes,2003
Vermont,,,Yes,2003
Alabama,,,Yes,2003
Georgia,,,Yes,2003
Idaho,,,Yes,2003
Indiana,,,Yes,2003
Iowa,,,Yes,2003
Kansas,,,Yes,2003
Kentucky,,,Yes,2003
Mississippi,,,Yes,2003
Missouri,,,Yes,2003
Nebraska,,,Yes,2003
North Carolina,,,Yes,2003
Ohio,,,Yes,2003
Oklahoma,,,Yes,2003
South Carolina,,,Yes,2003
South Dakota,,,Yes,2003
Tennessee,,,Yes,2003
Texas,,,Yes,2003
Utah,,,Yes,2003
West Virginia,,,Yes,2003
Wisconsin,,,Yes,2003
Wyoming,,,Yes,2003
Alaska,Yes,,,2003
California,Yes,,,2003
Colorado,Yes,,,2003
Massachusetts,,,Yes,2003
Nevada,Yes,,,2003
Oregon,Yes,,,2003
Virginia,,,Yes,2003
Washington,Yes,,,2003
Connecticut,,,Yes,2004
Hawaii,Yes,,,2004
Rhode Island,,,Yes,2004
Arizona,,,Yes,2004
Arkansas,,,Yes,2004
Delaware,,,Yes,2004
Florida,,,Yes,2004
Illinois,,,Yes,2004
Louisiana,,,Yes,2004
Maine,Yes,,,2004
Maryland,,,Yes,2004
Michigan,,,Yes,2004
Minnesota,,,Yes,2004
Montana,Yes,,,2004
New Hampshire,,,Yes,2004
New Jersey,,,Yes,2004
New Mexico,,,Yes,2004
New York,,,Yes,2004
North Dakota,,,Yes,2004
Pennsylvania,,,Yes,2004
Vermont,Yes,,,2004
Alabama,,,Yes,2004
Georgia,,,Yes,2004
Idaho,,,Yes,2004
Indiana,,,Yes,2004
Iowa,,,Yes,2004
Kansas,,,Yes,2004
Kentucky,,,Yes,2004
Mississippi,,,Yes,2004
Missouri,,,Yes,2004
Nebraska,,,Yes,2004
North Carolina,,,Yes,2004
Ohio,,,Yes,2004
Oklahoma,,,Yes,2004
South Carolina,,,Yes,2004
South Dakota,,,Yes,2004
Tennessee,,,Yes,2004
Texas,,,Yes,2004
Utah,,,Yes,2004
West Virginia,,,Yes,2004
Wisconsin,,,Yes,2004
Wyoming,,,Yes,2004
Alaska,Yes,,,2004
California,Yes,,,2004
Colorado,Yes,,,2004
Massachusetts,,,Yes,2004
Nevada,Yes,,,2004
Oregon,Yes,,,2004
Virginia,,,Yes,2004
Washington,Yes,,,2004
Connecticut,,,Yes,2005
Hawaii,Yes,,,2005
Rhode Island,,,Yes,2005
Arizona,,,Yes,2005
Arkansas,,,Yes,2005
Delaware,,,Yes,2005
Florida,,,Yes,2005
Illinois,,,Yes,2005
Louisiana,,,Yes,2005
Maine,Yes,,,2005
Maryland,,,Yes,2005
Michigan,,,Yes,2005
Minnesota,,,Yes,2005
Montana,Yes,,,2005
New Hampshire,,,Yes,2005
New Jersey,,,Yes,2005
New Mexico,,,Yes,2005
New York,,,Yes,2005
North Dakota,,,Yes,2005
Pennsylvania,,,Yes,2005
Vermont,Yes,,,2005
Alabama,,,Yes,2005
Georgia,,,Yes,2005
Idaho,,,Yes,2005
Indiana,,,Yes,2005
Iowa,,,Yes,2005
Kansas,,,Yes,2005
Kentucky,,,Yes,2005
Mississippi,,,Yes,2005
Missouri,,,Yes,2005
Nebraska,,,Yes,2005
North Carolina,,,Yes,2005
Ohio,,,Yes,2005
Oklahoma,,,Yes,2005
South Carolina,,,Yes,2005
South Dakota,,,Yes,2005
Tennessee,,,Yes,2005
Texas,,,Yes,2005
Utah,,,Yes,2005
West Virginia,,,Yes,2005
Wisconsin,,,Yes,2005
Wyoming,,,Yes,2005
Alaska,Yes,,,2005
California,Yes,,,2005
Colorado,Yes,,,2005
Massachusetts,,,Yes,2005
Nevada,Yes,,,2005
Oregon,Yes,,,2005
Virginia,,,Yes,2005
Washington,Yes,,,2005
Connecticut,,,Yes,2006
Hawaii,Yes,,,2006
Rhode Island,Yes,,,2006
Arizona,,,Yes,2006
Arkansas,,,Yes,2006
Delaware,,,Yes,2006
Florida,,,Yes,2006
Illinois,,,Yes,2006
Louisiana,,,Yes,2006
Maine,Yes,,,2006
Maryland,,,Yes,2006
Michigan,,,Yes,2006
Minnesota,,,Yes,2006
Montana,Yes,,,2006
New Hampshire,,,Yes,2006
New Jersey,,,Yes,2006
New Mexico,,,Yes,2006
New York,,,Yes,2006
North Dakota,,,Yes,2006
Pennsylvania,,,Yes,2006
Vermont,Yes,,,2006
Alabama,,,Yes,2006
Georgia,,,Yes,2006
Idaho,,,Yes,2006
Indiana,,,Yes,2006
Iowa,,,Yes,2006
Kansas,,,Yes,2006
Kentucky,,,Yes,2006
Mississippi,,,Yes,2006
Missouri,,,Yes,2006
Nebraska,,,Yes,2006
North Carolina,,,Yes,2006
Ohio,,,Yes,2006
Oklahoma,,,Yes,2006
South Carolina,,,Yes,2006
South Dakota,,,Yes,2006
Tennessee,,,Yes,2006
Texas,,,Yes,2006
Utah,,,Yes,2006
West Virginia,,,Yes,2006
Wisconsin,,,Yes,2006
Wyoming,,,Yes,2006
Alaska,Yes,,,2006
California,Yes,,,2006
Colorado,Yes,,,2006
Massachusetts,,,Yes,2006
Nevada,Yes,,,2006
Oregon,Yes,,,2006
Virginia,,,Yes,2006
Washington,Yes,,,2006
Connecticut,,,Yes,2007
Hawaii,Yes,,,2007
Rhode Island,Yes,,,2007
Arizona,,,Yes,2007
Arkansas,,,Yes,2007
Delaware,,,Yes,2007
Florida,,,Yes,2007
Illinois,,,Yes,2007
Louisiana,,,Yes,2007
Maine,Yes,,,2007
Maryland,,,Yes,2007
Michigan,,,Yes,2007
Minnesota,,,Yes,2007
Montana,Yes,,,2007
New Hampshire,,,Yes,2007
New Jersey,,,Yes,2007
New Mexico,Yes,,,2007
New York,,,Yes,2007
North Dakota,,,Yes,2007
Pennsylvania,,,Yes,2007
Vermont,Yes,,,2007
Alabama,,,Yes,2007
Georgia,,,Yes,2007
Idaho,,,Yes,2007
Indiana,,,Yes,2007
Iowa,,,Yes,2007
Kansas,,,Yes,2007
